"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP3";"PAD-150-60";1;"9D5";;;
2;"J1";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09";;;
3;"L1";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"100uH";;;
4;"Q1";"Crystal_HC49-4H_Vertical";1;"4.43";;;
5;"TP1";"PAD-150-60";1;"8D8";;;
6;"TP2";"PAD-150-60";1;"12D4";;;
7;"TP4";"PAD-150-60";1;"4D3";;;
8;"TP5";"PAD-150-60";1;"6D3";;;
9;"TP6";"PAD-150-60";1;"SYNC";;;
10;"TP7";"PAD-150-60";1;"CVOUT";;;
11;"U1";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"CXA2075M";;;
12;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"7400";;;
13;"U3";"SOIC-14_3.9x8.7mm_P1.27mm";1;"7474";;;
14;"U4";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"74HC240";;;
15;"VT1";"SOT-23";1;"BC847";;;
16;"RV1,RV2,RV3";"Potentiometer_Bourns_3296W_Vertical";3;"1K";;;
17;"TP8";"PAD-150-60";1;"+5V";;;
18;"TP9,TP10,TP16,TP17,TP18,TP19";"PAD-150-60";6;"GND";;;
19;"C1,C2,C3,C5,C6,C12,C14,C15";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"0.1uF";;;
20;"C10,C17";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10nF";;;
21;"C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"150pF";;;
22;"C18";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100pF";;;
23;"C20";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47pF";;;
24;"R1,R2,R3,R9,R7,R8,R23,R24,R25";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";9;"75";;;
25;"R4,R5,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"220";;;
26;"R10,R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10K";;;
27;"R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2K61";;;
28;"R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"510";;;
29;"R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1K50";;;
30;"R15,R18";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1K6";;;
31;"R16,R19,R21";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"820";;;
32;"R17,R20,R22";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"430";;;
33;"TP11";"PAD-150-60";1;"BOUT";;;
34;"TP12";"PAD-150-60";1;"GOUT";;;
35;"TP13";"PAD-150-60";1;"ROUT";;;
36;"TP14";"PAD-150-60";1;"YOUT";;;
37;"TP15";"PAD-150-60";1;"COUT";;;
38;"C4,C7,C8,C9,C19,C21,C22";"CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder";7;"220uF";;;
39;"C11,C16";"CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder";2;"47uF";;;
